custalloc,prot,custmed,supalloc,supapp,supmed
10.711458,70.9086,84.26954699999996,11.424602,5.006073000000001,117.82051000000004
10.463452,30.969296999999997,210.140919,11.211540000000001,5.196061999999998,211.995218
10.857328,28.635042000000006,215.2878839999999,10.451858999999999,4.512974,215.19535900000005
10.533194,30.814536,214.957737,10.587242000000002,6.119758999999998,210.23682899999991
11.007344,28.751489999999997,215.50320000000008,10.767921,4.414149000000001,110.467818
11.100677000000001,28.16721,216.12869700000005,10.893995,5.545700000000003,216.23803599999997
10.457015,30.928138,216.02181000000004,10.830825,4.344030999999999,216.124178
10.772450000000001,26.959975000000004,118.25966299999997,10.421978000000001,3.957442999999999,208.57106100000004
10.510532000000001,30.611465999999997,200.8700240000001,11.039517000000002,7.095283999999998,211.95791800000006
10.674892000000002,70.336016,83.58914199999994,10.684271,4.237937000000001,118.370593
10.939652,26.514767000000006,117.61327499999999,10.374566000000002,3.8825990000000004,216.02283700000007
9.994303,28.426951,215.08706300000003,10.390908999999999,6.273261000000002,215.38154199999997
10.758344999999998,28.130187000000006,217.975511,10.704253000000001,5.427028,217.984178
10.301415,70.88011300000001,83.396924,9.673508000000002,8.466887,215.060817
10.003657,28.024220999999997,215.91318100000004,9.903428,7.536258000000002,200.99763399999995
10.152582,70.59061800000002,87.37595799999993,9.888286,6.344985000000002,215.61056500000012
4.502688999999999,68.95811300000001,212.0280899999999,7.379147000000001,56.392243,87.48535399999999
4.725395000000001,68.432025,211.85109600000007,6.7987259999999985,56.98945100000001,84.37666399999999
4.1558769999999985,69.466394,208.463694,2.4911680000000014,56.348901,83.71441800000007
4.143742,69.211473,110.35324099999998,2.1549729999999983,56.88699999999999,83.50598599999998
