custalloc,prot,custmed,supalloc,supapp,supmed
10.422721,34.53928500000001,168.67117700000003,8.788454,6.158486999999999,248.68943600000006
10.774402,30.199542,249.26218200000002,8.725408,5.598493,247.967081
10.066514999999999,34.606277999999996,168.716184,9.290703999999998,4.2374940000000025,249.55464
10.611775999999999,30.066235,247.56210999999993,7.758069,6.905636000000004,248.97851300000005
10.087023,20.259716000000004,230.55363799999995,6.772203000000001,5.8418060000000045,168.82433900000004
10.305656,33.71221100000001,171.896699,6.843139000000001,6.6015429999999995,230.66372400000003
10.026611,23.212272000000006,228.08869899999996,7.193244999999999,6.733723000000004,171.84982799999997
10.196448,30.115083,248.57882400000003,6.500672,8.153837,169.41516400000012
10.015678,30.120810000000002,247.75357399999996,5.699558999999999,5.3624979999999995,168.71221899999992
9.654637,34.403474,169.47318700000014,5.431104,5.3063709999999995,220.68538900000004
9.888156,30.090224999999997,249.183195,4.6547030000000005,7.121802,172.67935200000008
9.73665,29.72815600000001,248.86001999999996,4.124242000000001,6.050077000000001,170.53914000000012
9.400141,33.92738500000001,168.021392,4.444362,6.225994999999999,227.415138
8.677282000000002,18.859191000000003,220.75745899999998,3.7174940000000016,6.545347999999998,228.19437599999998
8.424475000000001,34.214919,172.56513599999994,3.91071,6.725270000000002,247.6125470000001
8.357431,34.187038,170.435343,3.8437519999999994,5.1038559999999995,249.39477399999998
8.536774000000001,18.257613000000006,220.51320999999996,3.837251000000001,6.507216000000002,249.37204700000007
8.640982,30.133268000000005,249.44076500000003,2.0499670000000005,7.569883,169.61885399999994
8.02438,24.840564999999994,227.30624400000008,1.6622320000000017,5.704555999999998,220.86555199999998
7.315657,34.506153999999995,169.25623100000016,1.3107999999999993,8.094128,168.12494200000003
